Sr No,Model Name,Skin Name,Image URL
1,Nothing Phone (2a),3D Character,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_3D%20Character.jpg
2,Nothing Phone (2a),Abstract Planet,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Abstract%20Planet.jpg
3,Nothing Phone (2a),Abstract Triangle,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Abstract%20Triangle.jpg
4,Nothing Phone (2a),Abstract,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Abstract.jpg
5,Nothing Phone (2a),AI Captain,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_AI%20Captain.jpg
6,Nothing Phone (2a),AI CPU,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_AI%20CPU.jpg
7,Nothing Phone (2a),AI Nature,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_AI%20Nature.jpg
8,Nothing Phone (2a),Antman,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Antman.jpg
9,Nothing Phone (2a),Black Box,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Black%20Box.jpg
10,Nothing Phone (2a),Black Hexagones,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Black%20Hexagones.jpg
11,Nothing Phone (2a),Black Light,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Black%20Light.jpg
12,Nothing Phone (2a),Black Spiderman,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Black%20Spiderman.jpg
13,Nothing Phone (2a),Blue Tech,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Blue%20Tech.jpg
14,Nothing Phone (2a),Body Builder,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Body%20Builder.jpg
15,Nothing Phone (2a),Butcher,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Butcher.jpg
16,Nothing Phone (2a),Captain America,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Captain%20America.jpg
17,Nothing Phone (2a),Chess,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Chess.jpg
18,Nothing Phone (2a),Color Abstract,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Color%20Abstract.jpg
19,Nothing Phone (2a),Colorful Rocks,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Colorful%20Rocks.jpg
20,Nothing Phone (2a),Crystal Blocks,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Crystal%20Blocks.jpg
21,Nothing Phone (2a),Cube,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Cube.jpg
22,Nothing Phone (2a),Dark Silver,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Dark%20Silver.jpg
23,Nothing Phone (2a),Dhoni,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Dhoni.jpg
24,Nothing Phone (2a),Digital Dojo,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Digital%20Dojo.jpg
25,Nothing Phone (2a),Doomsday,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Doomsday.jpg
26,Nothing Phone (2a),Dotted Design,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Dotted%20Design.jpg
27,Nothing Phone (2a),Epic Joker,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Epic%20Joker.jpg
28,Nothing Phone (2a),Finger ball,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Finger%20ball.jpg
29,Nothing Phone (2a),First Avanger,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_First%20Avanger.jpg
30,Nothing Phone (2a),Free Style,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Free%20Style.jpg
31,Nothing Phone (2a),Galaxy,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Galaxy.jpg
32,Nothing Phone (2a),Gear,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Gear.jpg
33,Nothing Phone (2a),Geomatric wine,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Geomatric%20wine.jpg
34,Nothing Phone (2a),Geometric sky,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Geometric%20sky.jpg
35,Nothing Phone (2a),Greay Bord,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Greay%20Bord.jpg
36,Nothing Phone (2a),HexaGlow,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_HexaGlow.jpg
37,Nothing Phone (2a),Hexagones,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Hexagones.jpg
38,Nothing Phone (2a),Holographic,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Holographic.jpg
39,Nothing Phone (2a),Honeycomb,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Honeycomb.jpg
40,Nothing Phone (2a),Iron Man,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Iron%20Man.jpg
41,Nothing Phone (2a),Ivery Block,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Ivery%20Block.jpg
42,Nothing Phone (2a),Johnwick,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Johnwick.jpg
43,Nothing Phone (2a),Joker Abstract,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Joker%20Abstract.jpg
44,Nothing Phone (2a),Joker AI,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Joker%20AI.jpg
45,Nothing Phone (2a),Joker Attitude,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Joker%20Attitude.jpg
46,Nothing Phone (2a),Joker HA HA,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Joker%20HA%20HA.jpg
47,Nothing Phone (2a),Joker Laughing,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Joker%20Laughing.jpg
48,Nothing Phone (2a),Joker Smoking,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Joker%20Smoking.jpg
49,Nothing Phone (2a),Joker,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Joker.jpg
50,Nothing Phone (2a),Landscape Block,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Landscape%20Block.jpg
51,Nothing Phone (2a),Life,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Life.jpg
52,Nothing Phone (2a),Look But Don't Touch,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Look%20But%20Don%27t%20Touch.jpg
